Fiscal Year,Agency Name,Title Description,Base Salary,Pay Basis,Regular Hours,Regular Gross Paid,Total Other Pay
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$49452.00, per Annum,1830,$43754.03,$13.19
2016,DISTRICT ATTORNEY-MANHATTAN   ,PHOTOGRAPHER                                                ,$63952.00, per Annum,1830,$65560.56,$2945.97
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$54736.00, per Annum,1830,$51446.94,$2008.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$178000.00, per Annum,1830,$185049.90,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$66500.00, per Annum,523,$22101.84,$250.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$153000.00, per Annum,1831,$152054.96,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$62500.00, per Annum,1753,$60622.09,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43102.00, per Annum,1830,$42227.09,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$113500.00, per Annum,659,$46157.74,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,CLERICAL ASSOCIATE                          ,$41360.00, per Annum,1830,$40911.67,$4474.71
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$78000.00, per Annum,1830,$77790.90,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$82000.00, per Annum,585,$21976.27,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$54736.00, per Annum,1830,$51446.94,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$2250.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,SPECIAL ASSISTANT TO DA                                     ,$175000.00, per Annum,1830,$182066.01,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1750.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$63000.00, per Annum,1488,$48797.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$71500.00, per Annum,1830,$71525.45,$500.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$185000.00, per Annum,1830,$192012.55,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,129.83,$718.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$36155.00, per Annum,1830,$35766.77,$2796.95
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$44166.00, per Annum,1830,$43691.78,$3063.57
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,464.67,$4734.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,SECRETARY                                                   ,$108287.00, per Annum,1831,$106640.99,$4424.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$128000.00, per Annum,1831,$127128.28,$2000.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$153500.00, per Annum,1830,$152308.02,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$44080.00, per Annum,1830,$41485.24,$33.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1000.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$47628.00, per Annum,1830,$47112.36,$795.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,CITY CUSTODIAL ASSISTANT                                    ,$33363.00, per Annum,2091.42,$33004.67,$23.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$143000.00, per Annum,1831,$141960.48,$0.00
2016,POLICE DEPARTMENT,POLICE OFFICER,$44521.00,per Annum,2091.42,$44097.46,$6760.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1418,$27140.21,$914.60
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$47362.00, per Annum,765.55,$21763.12,$17.71
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$80500.00, per Annum,1831,$80247.91,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,REPORTER/ STENOGRAPHER                                      ,$80293.00, per Annum,1830,$83066.94,$2882.60
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$49348.00, per Annum,1830,$48818.02,$795.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$48175.00, per Annum,276.75,$9529.14,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,PRINCIPAL ADMINISTRATIVE ASSOCIATE    ,$86842.00, per Annum,1830,$80741.71,$3832.97
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$43299.00, per Annum,1814.75,$41212.52,$110.70
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$70683.00, per Annum,1830,$64168.14,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$53000.00, per Annum,1804.25,$46562.22,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$80500.00, per Annum,1830,$80124.21,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$74500.00, per Annum,1830,$73949.57,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$49662.00, per Annum,1202.68,$33510.09,$554.92
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$2250.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$126000.00, per Annum,1831,$125051.09,$500.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$55866.00, per Annum,1830,$55261.80,$1792.56
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$65500.00, per Annum,1831,$65236.80,$500.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$57485.00, per Annum,1244.25,$35066.08,$8.25
